id,Date,Home,Away,Winner,Score_Home,Score_Away,FGM_Home,FGA_Home,FGM_Away,FGA_Away,3PM_Home,3PA_Home,3PM_Away,3PA_Away,FTM_Home,FTA_Home,FTM_Away,FTA_Away,REB_Home,REB_Away,OR_Home,OR_Away,DR_Home,DR_Away,ASS_Home,ASS_Away,ST_Home,ST_Away,BL_Home,BL_Away,TO_Home,TO_Away,POT_Home,POT_Away,FBP_Home,FBP_Away,PIP_Home,PIP_Away,PF_Home,PF_Away,TF_Home,TF_Away,FF_Home,FF_Away
400277807,2012-11-10,Jazz,Suns,Jazz,94,81,38,78,32,87,2,14,4,16,16,24,13,17,65,42,10,10,42,27,22,15,3,12,7,4,18,10,15,16,12,10,52,36,18,25,0,2,0,0,
400277808,2012-11-10,Trail Blazers,Spurs,Spurs,109,112,42,89,40,70,10,22,7,18,15,19,25,31,44,43,12,6,25,30,23,20,14,9,5,5,15,21,27,24,21,17,34,36,23,20,0,1,0,0,
400277809,2012-11-10,Warriors,Nuggets,Nuggets,101,107,39,102,43,113,9,25,5,24,14,23,16,27,68,85,13,23,41,42,23,30,11,9,5,9,14,15,18,12,15,20,42,66,26,21,0,0,0,0,
400277810,2012-11-11,Nets,Magic,Nets,82,74,29,78,30,84,7,24,1,13,17,25,13,18,63,53,12,11,43,31,20,22,5,6,8,4,15,12,13,20,4,10,30,48,17,22,2,0,0,0,
400277811,2012-11-11,Clippers,Hawks,Clippers,89,76,38,82,30,72,5,15,9,25,8,8,7,16,45,50,8,10,30,31,21,20,12,3,6,9,15,22,24,12,0,0,48,48,22,12,1,0,0,0,
400277812,2012-11-11,Grizzlies,Heat,Grizzlies,104,86,38,86,30,79,14,24,4,15,14,16,22,36,51,62,11,15,32,28,26,18,8,8,4,6,15,14,17,12,16,23,40,42,22,16,1,1,0,0,
400277813,2012-11-11,Thunder,Cavaliers,Thunder,106,91,40,73,34,83,7,15,7,23,19,22,16,23,48,44,4,10,37,26,20,19,7,11,10,0,21,15,22,20,31,18,46,30,22,19,1,0,0,0,
400277814,2012-11-11,Lakers,Kings,Lakers,103,90,36,81,36,90,8,25,7,23,23,30,11,14,63,46,18,14,32,25,23,20,6,10,7,5,18,13,18,26,5,19,42,40,13,24,0,1,0,0,
400277815,2012-11-12,Raptors,Jazz,Jazz,133,140,51,108,46,93,8,24,14,26,23,30,34,43,60,60,20,11,32,35,31,30,13,10,5,11,18,18,15,25,7,15,54,40,31,26,1,1,0,0,
400277816,2012-11-12,76ers,Bucks,Bucks,96,105,37,85,41,80,10,24,7,20,12,16,16,18,38,55,4,6,27,42,22,25,13,8,3,7,15,23,29,21,24,28,24,42,14,19,1,0,0,0,
400277817,2012-11-12,Pistons,Thunder,Thunder,90,92,33,83,27,73,6,17,1,10,18,27,37,42,51,59,13,9,26,35,22,10,8,7,7,12,12,14,19,19,15,21,50,42,28,20,0,3,0,0,
400277818,2012-11-12,Bulls,Celtics,Celtics,95,101,34,74,41,81,3,9,3,16,24,31,16,16,50,37,8,6,32,28,24,28,6,9,1,5,14,8,14,10,10,14,38,40,15,24,0,0,0,0,
400277819,2012-11-12,Rockets,Heat,Heat,110,113,36,80,45,89,12,34,10,21,26,33,13,20,48,54,11,13,29,31,25,26,5,4,6,4,11,11,15,15,14,15,42,40,20,24,1,0,0,0,
400277820,2012-11-12,Mavericks,Timberwolves,Timberwolves,82,90,29,80,30,65,4,16,4,15,20,25,26,32,42,55,7,7,28,42,16,20,7,8,2,7,10,18,18,11,16,12,34,36,20,22,3,2,0,0,
400277821,2012-11-12,Suns,Nuggets,Suns,110,100,43,94,41,76,7,12,7,16,17,21,11,18,50,47,15,9,25,34,29,26,6,2,4,10,6,15,17,9,17,21,42,52,19,21,0,1,0,0,
400277822,2012-11-12,Trail Blazers,Hawks,Hawks,87,95,30,83,35,79,6,23,7,18,21,26,18,22,57,49,16,6,31,35,15,20,13,14,6,4,20,17,23,19,10,26,38,46,19,22,0,0,0,0,
400277823,2012-11-13,Hornets,Wizards,Hornets,92,76,31,78,25,84,3,13,5,31,27,32,21,32,58,64,13,18,37,32,17,18,8,5,7,10,13,17,19,15,18,13,46,24,20,24,2,0,0,0,
400277824,2012-11-13,Magic,Knicks,Knicks,89,99,37,75,41,84,5,14,9,24,10,17,8,11,50,41,9,6,33,25,28,15,7,11,5,1,20,9,7,24,7,4,46,40,9,14,1,1,0,0,
400277825,2012-11-13,Pacers,Raptors,Raptors,72,74,24,75,26,72,5,15,6,12,19,25,16,19,55,51,14,8,35,37,14,13,8,4,7,1,12,14,17,12,23,4,32,18,16,23,1,2,0,0,
400277826,2012-11-13,Nets,Cavaliers,Nets,114,101,42,77,38,87,5,22,3,14,25,31,22,26,46,48,12,16,27,19,27,16,5,10,10,0,13,12,18,18,23,8,60,64,23,26,0,0,0,0,
400277827,2012-11-13,Kings,Trail Blazers,Trail Blazers,86,103,36,77,35,72,1,11,14,27,13,19,19,22,37,50,10,11,23,33,19,20,7,9,4,5,13,17,15,11,8,9,54,28,20,18,0,0,0,1,
400277828,2012-11-13,Lakers,Spurs,Spurs,82,84,31,74,35,90,6,20,7,20,14,22,7,11,61,49,13,11,35,27,18,22,5,13,9,5,17,8,6,12,6,13,26,38,14,17,1,0,0,0,
400277829,2012-11-14,76ers,Pistons,Pistons,76,94,25,84,35,73,5,16,3,7,21,32,21,31,51,67,11,12,27,45,15,27,10,3,4,7,4,18,24,6,11,17,28,42,21,25,0,1,0,0,
400277830,2012-11-14,Celtics,Jazz,Celtics,98,93,36,72,33,82,4,10,7,15,22,29,20,28,43,57,4,18,29,30,24,18,8,3,4,6,9,13,17,7,20,8,44,44,17,19,2,1,0,0,
